cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
1	275.09118047473623	3.664560221052632	40	1.0	Massbank:BML00579 Phloretin
2	607.2919791177283	10.347128217391305	101		
3	221.0420050248417	0.5922752663636364	-1		
4	381.07926015564885	0.6104375454545454	201		
5	449.1075670816121	3.3724527500000003	41	5.0	2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}-4H-chromen-4-one
6	621.2700196275058	9.479938752173911	-1		
7	275.09132211823805	4.550928715789474	40	7.0	Massbank:BML00579 Phloretin
8	465.10284264251874	3.103032095454545	466	8.0	CCG-208508 CollisionEnergy:102040
9	303.04816389983864	3.3766878300000007	4	9.0	Quercetin
10	280.263295905522	8.746472173913043	27		
11	183.0863327985864	0.6320259468181818	138	11.0	Spectral Match to D-Sorbitol from NIST14
12	360.1499796583501	0.632747622173913	18	12.0	SUCROSE
13	435.09215171611095	3.301079927777778	102	13.0	avicularin
14	593.2756620987601	9.647767817391305	101	14.0	4.Phaeophorbide a
15	421.12806139628094	5.136005416666666	38		
16	437.1443014778437	3.668650005555556	541	16.0	phloridzin-emf
17	254.247854786262	8.47093273043478	47		
18	344.1344589423257	2.376732959090909	144	18.0	(E)-3-[2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-enoic acid
19	256.2633229131284	9.204007891304348	73	19.0	Spectral Match to Palmitamide from NIST14
20	568.4279261699005	10.286784956521736	22		
21	792.561890414536	11.24500134782609	6		
22	349.0897322794437	2.365043239130435	83	22.0	(E)-3-[2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-enoic acid
23	303.0496530405613	3.101059628571429	4	23.0	quercetin CollisionEnergy:205060
24	205.06821039423767	0.5929402947826086	-1		
25	421.1281286223645	5.1816488611111104	38		
26	165.05477884817813	2.366021656521739	38	26.0	P-COUMARIC ACID
27	464.3586279827616	9.28904945652174	682		
28	459.1259711227879	3.67473735	-1		
29	165.07574373973162	0.6364093852173912	138	29.0	D-Sorbitol
30	487.08442835286746	3.089302531818181	286		
31	778.5381646382317	10.903446318181816	258	31.0	Spectral Match to 1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine from NIST14
32	457.0738498815574	3.3001935722222218	286		
