"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
4362	"NA_[4362_562.37_10.4]"	5.00946944159149	-0.019972427237241	-0.102880355717021
1544	"NA_[1544_325.2_7.1]"	4.95940349628708	-0.0359570497086445	-0.0879958326714124
1385	"NA_[1385_562.37_10.4]"	4.84403040533381	-0.0207522640711145	-0.0979046192602063
1364	"NA_[1364_336.31_8.6]"	4.7265776841013	-0.0156359133057764	-0.105470461618268
688	"NA_[688_310.24_6.7]"	4.71070304180822	-0.0390794945590804	-0.0667184550180573
808	"NA_[808_429.41_9.9]"	4.45078153160672	-0.0227801682072069	-0.0771760235527741
1367	"NA_[1367_575.49_10.7]"	4.40713169087023	-0.0357798287979538	-0.0658621193612445
653	"NA_[653_478.37_9.3]"	4.02576130437467	-0.0339925184603413	-0.0570051356553694
1240	"Pestalotionol_[1240_235.13_6.3]"	3.98657670239889	-0.00572769231163475	-0.0966623515989275
1535	"NA_[1535_288.25_6.8]"	3.77255262773039	-0.0231827732897044	-0.0874737824608322
1145	"NA_[1145_406.33_9.9]"	3.7277309581153	-0.0197059557105966	-0.064765281012848
4153	"NA_[4153_155.15_2.3]"	3.7100565404849	-0.0020399021662857	-0.0946000877044066
4148	"NA_[4148_411.05_9.6]"	3.70322401105753	-0.0019915089722139	-0.0920588897218027
3100	"NA_[3100_172.17_5.4]"	3.69419032406814	-0.0257775794567622	-0.0784833978100932
4150	"DL-Stachydrine_[4150_144.1_0.7]"	3.6880054666046	-0.0129907803740012	-0.0899000682528612
2825	"NA_[2825_429.41_9.9]"	3.66274807467687	-0.0141380712157522	-0.0658793455672048
3102	"NA_[3102_265.18_6.6]"	3.66156188420916	-0.0255471058857832	-0.073333473001952
4049	"NA_[4049_223.13_5.4]"	3.64549857056969	-0.0261425577493792	-0.0756452815479742
408	"NA_[408_568.58_10.7]"	3.6147150877739	-0.0140909976744265	-0.0634566218139754
27	"NA_[27_464.36_9.3]"	3.61141271174498	-0.0156118487268371	-0.0824984456301868
4154	"NA_[4154_354.98_8.3]"	3.59055168058326	-0.00194882671507706	-0.0903582966704959
1510	"NA_[1510_225.15_5.4]"	3.57239128634526	-0.00249788301314042	-0.0692580564988964
4151	"NA_[4151_453.34_3.9]"	3.56800830275357	-0.00194834287252362	-0.0902907655239865
2003	"carnitinium_[2003_162.11_0.7]"	3.55736788980356	-0.0132502812738378	-0.0894030338015511
4149	"Irganox 1098_[4149_637.49_8.8]"	3.5171017001106	-0.0019449134833914	-0.0887773559446849
928	"NA_[928_392.23_5.7]"	3.47622773115934	-0.0151703094617701	-0.0695401734558756
4155	"NA_[4155_263.15_3.6]"	3.47566089154155	-0.00357387017808027	-0.0882199182755057
909	"NA_[909_160.1_0.7]"	3.45449885599191	-0.0143464551392953	-0.0819149080157527
387	"NA_[387_195.1_6.5]"	3.44726704514797	-0.0102718950657613	-0.0854808924500106
1241	"NA_[1241_416.21_2.7]"	3.44561146683411	-0.0181784598570017	-0.0798005139957155
654	"NA_[654_179.11_5.9]"	3.43810872978537	-0.0130345708680413	-0.0834409205876578
1488	"NA_[1488_464.43_11.2]"	3.42765162117256	-0.0233660173602089	-0.0569276722029837
1541	"NA_[1541_179.11_5.9]"	3.42289845678823	-0.0206996020813262	-0.074426061445046
4364	"NA_[4364_342.23_6.1]"	3.40087962908438	-0.027290769319788	-0.0543758092562037
4152	"NA_[4152_467.11_10.5]"	3.38478062062692	-0.00190868208003967	-0.0894016064882729
579	"NA_[579_384.35_9.9]"	3.35489094772649	-0.0264964997367942	-0.0537818462604888
