confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	1	1	1	0.9993755594954646	-170.52545185752078	0.9999999999999999	19.06895770103031	C16H20N2O6S	[M + Na]+	CWNIQCOMWQROPA	InChI=1S/C16H20N2O6S/c19-7-11-13(20)14(21)15(22)16(24-11)25-12(18-23)5-8-6-17-10-4-2-1-3-9(8)10/h1-4,6,11,13-17,19-23H,5,7H2	Desulfoglucobrassicin	C1=CC=C2C(=C1)C(=CN2)CC(=NO)SC3C(C(C(C(O3)CO)O)O)O	0.5	9603283;14122903;24892786;71551220;126456434	COCONUT:(CNP0085407);KNApSAcK:(7398);PubChem:(9603283 14122903 24892786 71551220 126456434);CHEBI:(136527 80545);PubChem class - bio and metabolites;KEGG:(C16517);Plantcyc:(CPD-1862);Biocyc:(CPD-1862)	19007794	391.0937957763672	130.48566	1057_mapp_batch_00109_sirius_1120	1120
2	1	1	2	2	0.9992596339197433	-137.41479527390413	0.9999999999999999	46.37500892567165	C16H20N2O6S	[M + H]+	CWNIQCOMWQROPA	InChI=1S/C16H20N2O6S/c19-7-11-13(20)14(21)15(22)16(24-11)25-12(18-23)5-8-6-17-10-4-2-1-3-9(8)10/h1-4,6,11,13-17,19-23H,5,7H2	Desulfoglucobrassicin	C1=CC=C2C(=C1)C(=CN2)CC(=NO)SC3C(C(C(C(O3)CO)O)O)O	0.5	9603283;14122903;24892786;71551220;126456434	COCONUT:(CNP0085407);KNApSAcK:(7398);PubChem:(9603283 14122903 24892786 71551220 126456434);CHEBI:(136527 80545);PubChem class - bio and metabolites;KEGG:(C16517);Plantcyc:(CPD-1862);Biocyc:(CPD-1862)	19007794	369.11216735839844	153.89225399999998	1391_mapp_batch_00109_sirius_1477	1477
3	1	1	2	2	0.9992430720125131	-145.25249955363128	0.9999999999999999	38.47228895447278	C16H20N2O6S	[M + H]+	CWNIQCOMWQROPA	InChI=1S/C16H20N2O6S/c19-7-11-13(20)14(21)15(22)16(24-11)25-12(18-23)5-8-6-17-10-4-2-1-3-9(8)10/h1-4,6,11,13-17,19-23H,5,7H2	Desulfoglucobrassicin	C1=CC=C2C(=C1)C(=CN2)CC(=NO)SC3C(C(C(C(O3)CO)O)O)O	0.5	9603283;14122903;24892786;71551220;126456434	COCONUT:(CNP0085407);KNApSAcK:(7398);PubChem:(9603283 14122903 24892786 71551220 126456434);CHEBI:(136527 80545);PubChem class - bio and metabolites;KEGG:(C16517);Plantcyc:(CPD-1862);Biocyc:(CPD-1862)	19007794	369.1121826171875	130.48566	596_mapp_batch_00109_sirius_633	633
4	1	1	1	2	0.9985166201985399	-13.150360272899942	0.9999999999999999	79.12198423033497	C11H22N2O4S	[M + H]+	ZNXZGRMVNNHPCA	InChI=1S/C11H22N2O4S/c1-11(2,7-14)9(16)10(17)13-4-3-8(15)12-5-6-18/h9,14,16,18H,3-7H2,1-2H3,(H,12,15)(H,13,17)	pantetheine	CC(C)(CO)C(C(=O)NCCC(=O)NCCS)O	-1.0	479;439322;90646841;92209449	HMDB:(3426);SuperNatural:(SN00275203);MeSH:(439322);Plantcyc:(CPD-511);PubMed;NORMAN:(NS00043525);COCONUT:(CNP0332663);Natural Products:(UNPD326);PubChem:(479 439322 90646841 92209449);YMDB Mine;CHEBI:(16753);PubChem class - bio and metabolites;KEGG:(C00831);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-511)	34447214958	279.13719177246094	138.419448	4061_mapp_batch_00109_sirius_4431	4431
5	1	1	2	2	0.9982953007867912	-5.701529741595325	0.9999999999999999	43.40661153030762	C7H15NO3	[M + H]+	PHIQHXFUZVPYII	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/p+1	Carnitin	C[N+](C)(C)CC(CC(=O)O)O	-0.800000012	85;288;10918;10917;160907;450345;451225;2724480;10535083;10535084;10559012;10559013;6914103;6914104;10773397;10773398;12302477;12302480;15930740;45038580;46186912;46186913;46216349;46215843;46216189;46216517;46213982;46213983;46214499;46214500;46215500;46215495;46215496;46215497;46215498;46215499;46215501;46215502;46215503;46215504;46215505;46215506;46215507;46215508;46215509;46215510;46215663;46215664;46215665;46215666;46215667;46215668;46215669;46215670;46215671;46215672;46215673;46215674;46215675;46215676;46215677;46215678;46215679;46215680;46215836;46215837;46215838;46215839;46215840;46215841;46215842;46215844;46215845;46215846;46215847;46215848;46215849;46215850;46215851;46216012;46216013;46216014;46216015;46216016;46216017;46216018;46216019;46216020;46216021;46216022;46216023;46216024;46216025;46216026;46216027;46216028;46216029;46216174;46216175;46216176;46216177;46216178;46216179;46216180;46216181;46216182;46216183;46216184;46216185;46216186;46216187;46216188;46216334;46216335;46216336;46216337;46216338;46216339;46216340;46216341;46216342;46216343;46216344;46216345;46216346;46216347;46216348;46216350;46216351;46216513;46216514;46216515;46216516;46216518;46216519;46216520;46216521;46216522;46216523;46216524;46216525;46216526;46780190;46780191;46932131;59324226;59324227;59324230;59324231;71309822;87285198;89059971;89059972;89059973;89059975;89059976;89059977;89059984;89059985;89059993;89059994;117064620;118524994;118524995;129316446;129709323;129709324;129880693;129880694;133687794;133687795	HMDB:(62 62496 62634);PubChem class - food;SuperNatural:(SN00001153 SN00389969 SN00003349);ZINC bio:(ZINC00154729 ZINC03079340);additional;HSDB:(541-15-1);MeSH:(288 10917);Plantcyc:(CARNITINE);PubMed;NORMAN:(NS00009461);COCONUT:(CNP0151897 CNP0334740);Natural Products:(UNPD9107 UNPD143588);PubChem:(85 288 10918 10917 160907 450345 451225 2724480 10535083 10535084 10559012 10559013 6914103 6914104 10773397 10773398 12302477 12302480 15930740 45038580 46186912 46186913 46216349 46215843 46216189 46216517 46213982 46213983 46214499 46214500 46215500 46215495 46215496 46215497 46215498 46215499 46215501 46215502 46215503 46215504 46215505 46215506 46215507 46215508 46215509 46215510 46215663 46215664 46215665 46215666 46215667 46215668 46215669 46215670 46215671 46215672 46215673 46215674 46215675 46215676 46215677 46215678 46215679 46215680 46215836 46215837 46215838 46215839 46215840 46215841 46215842 46215844 46215845 46215846 46215847 46215848 46215849 46215850 46215851 46216012 46216013 46216014 46216015 46216016 46216017 46216018 46216019 46216020 46216021 46216022 46216023 46216024 46216025 46216026 46216027 46216028 46216029 46216174 46216175 46216176 46216177 46216178 46216179 46216180 46216181 46216182 46216183 46216184 46216185 46216186 46216187 46216188 46216334 46216335 46216336 46216337 46216338 46216339 46216340 46216341 46216342 46216343 46216344 46216345 46216346 46216347 46216348 46216350 46216351 46216513 46216514 46216515 46216516 46216518 46216519 46216520 46216521 46216522 46216523 46216524 46216525 46216526 46780190 46780191 46932131 59324226 59324227 59324230 59324231 71309822 87285198 89059971 89059972 89059973 89059975 89059976 89059977 89059984 89059985 89059993 89059994 117064620 118524994 118524995 129316446 129709323 129709324 129880693 129880694 133687794 133687795);CHEBI:(16347 11060 51453 3424 17126 39547);PubChem class - bio and metabolites;KEGG:(C00318 C00487 C15025);PubChem class - safety and toxic;YMDB:(616 188);Training Set;PubChem class - drug;Biocyc:(D-CARNITINE CARNITINE)	255847278	162.11257934570312	36.622132199999996	1865_mapp_batch_00109_sirius_1995	1995
6	1	1	2	2	0.9977196489460828	-6.187209607081737	0.9999999999999999	71.06080399985247	C7H15NO3	[M + H]+	PHIQHXFUZVPYII	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/p+1	Carnitin	C[N+](C)(C)CC(CC(=O)O)O	-0.800000012	85;288;10918;10917;160907;450345;451225;2724480;10535083;10535084;10559012;10559013;6914103;6914104;10773397;10773398;12302477;12302480;15930740;45038580;46186912;46186913;46216349;46215843;46216189;46216517;46213982;46213983;46214499;46214500;46215500;46215495;46215496;46215497;46215498;46215499;46215501;46215502;46215503;46215504;46215505;46215506;46215507;46215508;46215509;46215510;46215663;46215664;46215665;46215666;46215667;46215668;46215669;46215670;46215671;46215672;46215673;46215674;46215675;46215676;46215677;46215678;46215679;46215680;46215836;46215837;46215838;46215839;46215840;46215841;46215842;46215844;46215845;46215846;46215847;46215848;46215849;46215850;46215851;46216012;46216013;46216014;46216015;46216016;46216017;46216018;46216019;46216020;46216021;46216022;46216023;46216024;46216025;46216026;46216027;46216028;46216029;46216174;46216175;46216176;46216177;46216178;46216179;46216180;46216181;46216182;46216183;46216184;46216185;46216186;46216187;46216188;46216334;46216335;46216336;46216337;46216338;46216339;46216340;46216341;46216342;46216343;46216344;46216345;46216346;46216347;46216348;46216350;46216351;46216513;46216514;46216515;46216516;46216518;46216519;46216520;46216521;46216522;46216523;46216524;46216525;46216526;46780190;46780191;46932131;59324226;59324227;59324230;59324231;71309822;87285198;89059971;89059972;89059973;89059975;89059976;89059977;89059984;89059985;89059993;89059994;117064620;118524994;118524995;129316446;129709323;129709324;129880693;129880694;133687794;133687795	HMDB:(62 62496 62634);PubChem class - food;SuperNatural:(SN00001153 SN00389969 SN00003349);ZINC bio:(ZINC00154729 ZINC03079340);additional;HSDB:(541-15-1);MeSH:(288 10917);Plantcyc:(CARNITINE);PubMed;NORMAN:(NS00009461);COCONUT:(CNP0151897 CNP0334740);Natural Products:(UNPD9107 UNPD143588);PubChem:(85 288 10918 10917 160907 450345 451225 2724480 10535083 10535084 10559012 10559013 6914103 6914104 10773397 10773398 12302477 12302480 15930740 45038580 46186912 46186913 46216349 46215843 46216189 46216517 46213982 46213983 46214499 46214500 46215500 46215495 46215496 46215497 46215498 46215499 46215501 46215502 46215503 46215504 46215505 46215506 46215507 46215508 46215509 46215510 46215663 46215664 46215665 46215666 46215667 46215668 46215669 46215670 46215671 46215672 46215673 46215674 46215675 46215676 46215677 46215678 46215679 46215680 46215836 46215837 46215838 46215839 46215840 46215841 46215842 46215844 46215845 46215846 46215847 46215848 46215849 46215850 46215851 46216012 46216013 46216014 46216015 46216016 46216017 46216018 46216019 46216020 46216021 46216022 46216023 46216024 46216025 46216026 46216027 46216028 46216029 46216174 46216175 46216176 46216177 46216178 46216179 46216180 46216181 46216182 46216183 46216184 46216185 46216186 46216187 46216188 46216334 46216335 46216336 46216337 46216338 46216339 46216340 46216341 46216342 46216343 46216344 46216345 46216346 46216347 46216348 46216350 46216351 46216513 46216514 46216515 46216516 46216518 46216519 46216520 46216521 46216522 46216523 46216524 46216525 46216526 46780190 46780191 46932131 59324226 59324227 59324230 59324231 71309822 87285198 89059971 89059972 89059973 89059975 89059976 89059977 89059984 89059985 89059993 89059994 117064620 118524994 118524995 129316446 129709323 129709324 129880693 129880694 133687794 133687795);CHEBI:(16347 11060 51453 3424 17126 39547);PubChem class - bio and metabolites;KEGG:(C00318 C00487 C15025);PubChem class - safety and toxic;YMDB:(616 188);Training Set;PubChem class - drug;Biocyc:(D-CARNITINE CARNITINE)	255847278	162.11257934570312	36.622132199999996	1880_mapp_batch_00109_sirius_2010	2010
7	1	1	2	2	0.997565555488169	-0.3850363359265716	0.9999999999999999	55.6968641464245	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	205.09716796875	128.69664	1938_mapp_batch_00109_sirius_2073	2073
8	1	1	2	2	0.9973369618854037	-4.041556214911483	0.9999999999999999	66.27878248814913	C7H15NO3	[M + H]+	PHIQHXFUZVPYII	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/p+1	Carnitin	C[N+](C)(C)CC(CC(=O)O)O	-0.800000012	85;288;10918;10917;160907;450345;451225;2724480;10535083;10535084;10559012;10559013;6914103;6914104;10773397;10773398;12302477;12302480;15930740;45038580;46186912;46186913;46216349;46215843;46216189;46216517;46213982;46213983;46214499;46214500;46215500;46215495;46215496;46215497;46215498;46215499;46215501;46215502;46215503;46215504;46215505;46215506;46215507;46215508;46215509;46215510;46215663;46215664;46215665;46215666;46215667;46215668;46215669;46215670;46215671;46215672;46215673;46215674;46215675;46215676;46215677;46215678;46215679;46215680;46215836;46215837;46215838;46215839;46215840;46215841;46215842;46215844;46215845;46215846;46215847;46215848;46215849;46215850;46215851;46216012;46216013;46216014;46216015;46216016;46216017;46216018;46216019;46216020;46216021;46216022;46216023;46216024;46216025;46216026;46216027;46216028;46216029;46216174;46216175;46216176;46216177;46216178;46216179;46216180;46216181;46216182;46216183;46216184;46216185;46216186;46216187;46216188;46216334;46216335;46216336;46216337;46216338;46216339;46216340;46216341;46216342;46216343;46216344;46216345;46216346;46216347;46216348;46216350;46216351;46216513;46216514;46216515;46216516;46216518;46216519;46216520;46216521;46216522;46216523;46216524;46216525;46216526;46780190;46780191;46932131;59324226;59324227;59324230;59324231;71309822;87285198;89059971;89059972;89059973;89059975;89059976;89059977;89059984;89059985;89059993;89059994;117064620;118524994;118524995;129316446;129709323;129709324;129880693;129880694;133687794;133687795	HMDB:(62 62496 62634);PubChem class - food;SuperNatural:(SN00001153 SN00389969 SN00003349);ZINC bio:(ZINC00154729 ZINC03079340);additional;HSDB:(541-15-1);MeSH:(288 10917);Plantcyc:(CARNITINE);PubMed;NORMAN:(NS00009461);COCONUT:(CNP0151897 CNP0334740);Natural Products:(UNPD9107 UNPD143588);PubChem:(85 288 10918 10917 160907 450345 451225 2724480 10535083 10535084 10559012 10559013 6914103 6914104 10773397 10773398 12302477 12302480 15930740 45038580 46186912 46186913 46216349 46215843 46216189 46216517 46213982 46213983 46214499 46214500 46215500 46215495 46215496 46215497 46215498 46215499 46215501 46215502 46215503 46215504 46215505 46215506 46215507 46215508 46215509 46215510 46215663 46215664 46215665 46215666 46215667 46215668 46215669 46215670 46215671 46215672 46215673 46215674 46215675 46215676 46215677 46215678 46215679 46215680 46215836 46215837 46215838 46215839 46215840 46215841 46215842 46215844 46215845 46215846 46215847 46215848 46215849 46215850 46215851 46216012 46216013 46216014 46216015 46216016 46216017 46216018 46216019 46216020 46216021 46216022 46216023 46216024 46216025 46216026 46216027 46216028 46216029 46216174 46216175 46216176 46216177 46216178 46216179 46216180 46216181 46216182 46216183 46216184 46216185 46216186 46216187 46216188 46216334 46216335 46216336 46216337 46216338 46216339 46216340 46216341 46216342 46216343 46216344 46216345 46216346 46216347 46216348 46216350 46216351 46216513 46216514 46216515 46216516 46216518 46216519 46216520 46216521 46216522 46216523 46216524 46216525 46216526 46780190 46780191 46932131 59324226 59324227 59324230 59324231 71309822 87285198 89059971 89059972 89059973 89059975 89059976 89059977 89059984 89059985 89059993 89059994 117064620 118524994 118524995 129316446 129709323 129709324 129880693 129880694 133687794 133687795);CHEBI:(16347 11060 51453 3424 17126 39547);PubChem class - bio and metabolites;KEGG:(C00318 C00487 C15025);PubChem class - safety and toxic;YMDB:(616 188);Training Set;PubChem class - drug;Biocyc:(D-CARNITINE CARNITINE)	255847278	162.11244201660156	82.632738	4029_mapp_batch_00109_sirius_4394	4394
9	1	1	1	2	0.9973355360603487	-387.3684096823826	0.879396984924623	87.89553306930365	C42H80O11	[M + K]+	XCMPEWXFVPCAPO	InChI=1S/C42H80O11/c1-4-5-13-31(3)41-29-39(50)24-11-23-38(49)28-40(51)27-37(48)22-10-19-34(45)17-8-15-32(43)14-7-16-33(44)18-9-21-36(47)26-35(46)20-6-12-30(2)25-42(52)53-41/h25,31-41,43-51H,4-24,26-29H2,1-3H3	null	CCCCC(C)C1CC(CCCC(CC(CC(CCCC(CCCC(CCCC(CCCC(CC(CCCC(=CC(=O)O1)C)O)O)O)O)O)O)O)O)O	5.4000001	49866296;46938851;102048816;139585655	COCONUT:(CNP0126363);Natural Products:(UNPD214117 UNPD85237);PubChem:(49866296 46938851 102048816 139585655);SuperNatural:(SN00316069);MeSH:(46938851 102048816);PubMed	3178566	799.5338134765625	695.6466	2563_mapp_batch_00109_sirius_2759	2759
10	1	1	2	2	0.9962634730198129	-0.7012516804564127	0.9999999999999999	73.1663577467718	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	205.09698486328125	121.73969399999999	3308_mapp_batch_00109_sirius_3578	3578
