id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_mapp_batch_00109_sirius_1	C45H83NO10	[M + Na]+	C45H83NO10	Fatty acids	0.9597887992858887	Sphingolipids	0.8350372314453125	Neutral glycosphingolipids	0.9675413966178894	Alkyl glycosides	0.6360884308815002	Alkyl glycosides	0.6360884308815002	Fatty acyl glycosides	0.9322662353515625	Fatty Acyls	0.9924401044845581	Lipids and lipid-like molecules	0.9920772314071655	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1
2_mapp_batch_00109_sirius_2	C30H31N3O11	[M + H]+	C30H31N3O11	Amino acids and Peptides	0.5168907046318054	Coumarins	0.7537404298782349	Tripeptides	0.36756834387779236	N-acyl-alpha amino acids and derivatives	0.9929100871086121	Amino acids and derivatives	0.991905927658081	Amino acids, peptides, and analogues	0.9914482831954956	Carboxylic acids and derivatives	0.9967772364616394	Organic acids and derivatives	0.9999594688415527	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Benzoic acids and derivatives; Benzamides; Hippuric acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aniline and substituted anilines; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Phenol ethers; Benzenoids; Amines; Tertiary alkylarylamines; Tetrahydrofurans; Dialkylarylamines; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	2
3_mapp_batch_00109_sirius_3	C9H10O3	[M + H]+	C9H10O3	Shikimates and Phenylpropanoids	0.944962203502655	Phenylpropanoids (C6-C3)	0.9620576500892639	Cinnamic acids and derivatives	0.9468852281570435	Alkyl-phenylketones	0.9943799376487732	Ketones	0.9637291431427002	Carbonyl compounds	0.9988239407539368	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Ketones; Acetophenones; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Benzoyl derivatives; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl ketones; Aryl alkyl ketones; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities	3
4_mapp_batch_00109_sirius_4	C10H19NOS2	[M + H]+	C10H19NOS2	Fatty acids	0.936798095703125	Fatty acyls	0.9400304555892944	Fatty alcohols	0.023972319439053535	Azepanes	0.0016052259597927332					Azepanes	0.0016052259597927332	Organoheterocyclic compounds	0.007094718515872955	Organic compounds; Organosulfur compounds; Organonitrogen compounds; Sulfoxides; Isothiocyanates; Sulfinyl compounds; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	4
5_mapp_batch_00109_sirius_5	C25H49NO5	[M + H]+	C25H49NO5	Fatty acids	0.9999290704727173	Fatty esters	0.9999545812606812	Fatty acyl carnitines	0.9944842457771301	Acyl carnitines	0.7766231298446655	Acyl carnitines	0.7766231298446655	Fatty acid esters	0.9998278617858887	Fatty Acyls	0.9997099041938782	Lipids and lipid-like molecules	0.9986808896064758	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Acyl carnitines; Carboxylic acid salts; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Amines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	5
6_mapp_batch_00109_sirius_6	C25H43N3O15	[M + H]+	C25H43N3O15	Carbohydrates	0.8678421974182129	Aminosugars and aminoglycosides	0.6986193656921387	Aminosugars	0.40137699246406555	Glycosylamines	0.7143716812133789	Glycosyl compounds	0.9737799763679504	Carbohydrates and carbohydrate conjugates	0.9998076558113098	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Glycosylamines; O-glycosyl compounds; Aminosaccharides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	6
7_mapp_batch_00109_sirius_7	C10H10N2OS	[M + H]+	C10H10N2OS	Alkaloids	0.9958719611167908	Tryptophan alkaloids	0.7568199038505554	Simple indole alkaloids	0.8946550488471985	3-alkylindoles	0.6833455562591553	3-alkylindoles	0.6833455562591553	Indoles	0.9298104643821716	Indoles and derivatives	0.9761431217193604	Organoheterocyclic compounds	0.999529242515564	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrroles; Thiazoles; Indoles and derivatives; Organonitrogen compounds; Substituted pyrroles; Benzenoids; Indoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	7
8_mapp_batch_00109_sirius_8	C11H12N2O2	[M + Na]+	C11H12N2O2	Amino acids and Peptides	0.9978436231613159	Small peptides	0.9971478581428528	Aminoacids	0.9887844324111938	Alpha amino acids	0.9835471510887146	Amino acids and derivatives	0.9998810291290283	Amino acids, peptides, and analogues	0.9998924732208252	Carboxylic acids and derivatives	0.9998947381973267	Organic acids and derivatives	0.9999094009399414	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Indolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted pyrroles; Alpha amino acids; Benzenoids; Amines; Primary amines; Indoles; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	8
9_mapp_batch_00109_sirius_9	C9H17NO8	[M + H]+	C9H17NO8	Amino acids and Peptides	0.7340925931930542	Small peptides	0.8458638191223145	Aminosugars	0.6697373390197754	Alpha amino acids and derivatives	0.8621366024017334	Amino acids and derivatives	0.7812466621398926	Amino acids, peptides, and analogues	0.7597606778144836	Carboxylic acids and derivatives	0.9992635846138	Organic acids and derivatives	0.9999767541885376	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Hydroxy acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Alpha hydroxy acids and derivatives; Hexoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Polyols; Amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	9
10_mapp_batch_00109_sirius_10	C5H4N4O	[M + H]+	C5H4N4O	Alkaloids	0.9967501163482666	Pseudoalkaloids	0.666742205619812	Purine alkaloids	0.6557514667510986	6-oxopurines	0.7563821077346802	Purinones	0.9681035876274109	Purines and purine derivatives	0.9457787275314331	Imidazopyrimidines	0.987384557723999	Organoheterocyclic compounds	0.9999997615814209	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Pyrazoles; Purines and purine derivatives; Hypoxanthines; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	10
