"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
3	"NA_[3_221.04_0.6]"	2.66966601877111	-0.0243674790309885	-0.0468209579552512
35	"NA_[35_379.1_2.5]"	2.60150363817255	-0.022315070260825	-0.0450975950672128
3099	"NA_[3099_342.26_4.3]"	2.44411416790364	-0.0356965545410804	-0.0345708559879137
3949	"NA_[3949_221.04_1.4]"	2.41315218150162	-0.0225974566548086	-0.042842665054019
4305	"NA_[4305_453.44_11]"	2.4128227895336	-0.0278764889765125	-0.0431939800122534
188	"NA_[188_200.11_0.6]"	2.409484711961	-0.0218561376463155	-0.0428190478150155
225	"NA_[225_289.02_0.6]"	2.40323212628219	-0.0212823979389856	-0.0428871367282257
11	"hexane-1,2,3,4,5,6-hexol_[11_183.09_0.6]"	2.39760600671944	-0.0217031635708207	-0.042605203568748
863	"NA_[863_301.09_1.8]"	2.39479920041141	-0.020583215891382	-0.0421316809089164
52	"NA_[52_129.05_0.6]"	2.37537902837573	-0.0217099581123532	-0.0421150561792071
29	"hexane-1,2,3,4,5,6-hexol_[29_165.08_0.6]"	2.36986325579667	-0.021501688647574	-0.0420685025687823
46	"NA_[46_147.07_0.6]"	2.36399997629673	-0.0216267435913024	-0.0419662405439658
1035	"NA_[1035_318.12_1.8]"	2.34254589606895	-0.0204433259256737	-0.0411912233587969
321	"NA_[321_735.21_2.5]"	2.31808972045893	-0.0192043327519228	-0.0402908165171715
141	"NA_[141_267.04_0.6]"	2.30136041421441	-0.0188501216900658	-0.0417621392604984
871	"4-hydroxybenzoic acid_[871_139.04_1.8]"	2.29924494227631	-0.0199033007024902	-0.0404187960041793
3561	"NA_[3561_374.14_2.7]"	2.27853784559849	-0.0202250530941916	-0.0401090502392562
852	"NA_[852_647.16_3.3]"	2.27827299820579	-0.0221710051020948	-0.0396046471607209
2956	"NA_[2956_330.12_0.8]"	2.26331359695752	-0.0183889432324935	0.036886366756136
281	"NA_[281_339.05_1.8]"	2.23933032335214	-0.0196898291202591	-0.0391572851723244
158	"NA_[158_449.12_0.6]"	2.21644146555522	-0.0185699434574102	-0.0407028272712585
88	"3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid_[88_195.07_2.6]"	2.13948837621893	-0.0203100328846636	-0.0370654393574351
4267	"NA_[4267_411.29_11]"	2.11578438697378	-0.0205824763855051	0.0321537965351153
180	"NA_[180_202.06_0.6]"	2.08718302553405	-0.0177818825915888	-0.0384505198059383
2143	"NA_[2143_797.52_11.2]"	2.07947392284029	-0.0274398587711298	-0.0346167758585139
337	"NA_[337_453.14_0.6]"	2.07807201492102	-0.0177482527906887	-0.0382451066342048
4	"2-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol_[4_381.08_0.6]"	2.07327771693772	-0.0239742760126006	0.0302414733317521
1906	"3',4',5,7-tetrahydroxy-3-methoxyflavone_[1906_339.05_2.2]"	2.06939396675463	-0.0173225193409783	0.030841608802296
2627	"NA_[2627_784.58_10.8]"	2.06186695625872	-0.0248563653470701	-0.0335515760981888
1332	"NA_[1332_582.59_11.4]"	2.05267493380752	-0.0229879011446439	-0.0355616004555347
2099	"NA_[2099_611.16_3]"	2.05075311682677	-0.0210935007677767	-0.0366373162678127
566	"NA_[566_595.34_9]"	2.04873491578675	-0.0203675295969623	-0.0370397680738419
980	"NA_[980_381.22_2.5]"	2.03968150618029	-0.0145173855299296	-0.0360706203745868
777	"NA_[777_357.12_2.6]"	2.03607092408243	-0.0221666976809467	-0.0349253894496688
187	"NA_[187_373.12_0.6]"	2.03227691055234	-0.0174746032112714	-0.0375273370566007
2438	"NA_[2438_349.12_3.8]"	2.02359515100104	-0.016632819935606	-0.0355354820007997
2590	"NA_[2590_278.1_3.7]"	2.01491068524348	-0.0137453685568473	-0.0354273997180844
660	"NA_[660_529.28_6.4]"	2.01425256083959	-0.0181826566974308	-0.0352374442417885
639	"NA_[639_482.2_3.7]"	2.0113068941431	-0.013739724043553	-0.0352581063953772
2045	"NA_[2045_130.06_1.4]"	2.01048838545829	-0.0171370658481407	-0.0338289052953128
30	"NA_[30_487.08_3.1]"	1.99663842534264	-0.0181826246064668	-0.0351328456815202
2568	"NA_[2568_379.1_2.6]"	1.99124116986107	-0.0188158176763741	-0.0352273971357863
39	"NA_[39_611.16_3]"	1.98629821177331	-0.0203032207099894	-0.0353664588232817
497	"NA_[497_429.15_3.6]"	1.98580837972634	-0.0195807831522478	-0.0353396417573392
455	"NA_[455_395.07_2.6]"	1.98447336623096	-0.017273977622304	-0.0343422511581807
486	"5-hydroxymethylfurfural_[486_127.04_3.6]"	1.98366570710193	-0.0139962701338237	-0.0347485741966465
349	"NA_[349_323.07_1.8]"	1.98295736274671	-0.0166883360579157	-0.034752552174466
2536	"NA_[2536_130.06_1.5]"	1.98244945762656	-0.0196262194023965	-0.0349707522180481
108	"NA_[108_599.2_3.7]"	1.98233652141565	-0.0134896117996159	-0.034820174536811
2960	"NA_[2960_566.24_3.4]"	1.98113254972783	-0.016664017511147	0.0332913683089568
2028	"NA_[2028_301.09_2.3]"	1.97457409300647	-0.0170387978076481	0.0294778381931548
964	"NA_[964_529.28_6.6]"	1.95587762155321	-0.0179511319140884	-0.0344337808788345
4369	"NA_[4369_559.52_10.7]"	1.95574732338156	-0.0359116490996971	-0.0271668672223337
